اسم المشروع,نوع المنافسة,حالة المشروع,الرقم المرجعي ,اسم المورد,تاريخ أمر الشراء,تاريخ توقيع العقد,مدة العقد
تجديد الدعم الفني والرخص مع الشركات الأم لأنظمة تقنية المعلومات,منافسة عامة,تحت التنفيذ,220339517984,شركه تقنيه خدمات المعلومات - فرع شركة سايبرماك لانظمة المعلومات - شركة اركي للتقنيه - فرع الشركه السعوديه للحاسبات الالكترونيه المحدوده,2022-07-18,2022-08-21,2
صيانة ونظافة وتشغيل فروع الهيئة بالطائف ونجران والباحة والمدينة والأمانة العامة للجان الضريبية بجدة,منافسة عامة,تحت التنفيذ,220339521471,101462 شركة المخالد للتجارة والمقاولات,2022-06-15,2022-08-27,36
تحسينات على مشروع إعادة هندسة إجراءات التحصيل,منافسة عامة,تحت التنفيذ,220339525889,شركة الفابت السعودية,2022-06-12,2022-08-25,12
تأهيل وترميم الدور الثالث بمبنى فرع الهيئة والصالة الشاملة بالميناء والمطار بمدينة الدمام,منافسة عامة,تحت التنفيذ,220339522606,100739 مؤسسة ارمادا العالمية للمقاولات الع,2022-04-24,2022-06-09,2
مشروع استمرارية تشغيل منصة الفوترة الإلكترونية,منافسة عامة,تحت التنفيذ,220339528796,الشركة العربية لخدمات الانترنت والاتصالات,2022-07-05,2022-09-01,24
مشروع اعمال أنظمة مكافحة وانذار الحريق بمنفذ الدرة,منافسة عامة,تحت التنفيذ,220339529454, شركة ابراهيم بن محمد بن علي عطيف,2022-07-28,2022-09-13,15
تأهيل وترميم مبنى الركاب بمنفذ الوديعة,منافسة عامة,تحت التنفيذ,220339529199,101232 شركة الصخور العربية للصناعة,2022-06-22,2022-08-03,4
تحسينات نظام الأمانة العامة للجان الزكوية والضريبية والجمركية,منافسة عامة,تحت التنفيذ,220339529028,100042 شركة اجادة للنظم المحدودة,2022-06-09,2022-07-20,18
تأهيل وترميم الصالة الشاملة بالميناء الجاف والمطار بمدينة الرياض,منافسة عامة,تحت التنفيذ,220339529938,100739 مؤسسة ارمادا العالمية للمقاولات الع,2022-06-09,2022-08-11,2
نظافة وصيانة وتشغيل مجمعات الوسائل الرقابية لعدد من المطارات وملحقاتها,منافسة عامة,تحت التنفيذ,220339530283,مؤسسة بناء الحجاز للمقاولات العامة,2022-07-05,2022-09-13,36
مشروع دعم وصيانة الشبكة غير الفعالة لهيئة الزكاة و الضريبة والجمارك وفروعها,منافسة عامة,تحت التنفيذ,220439536206,100787 شركة دار دلتا للتقنيه المعلومات,2022-06-21,2022-08-29,24
